number;question;answer;explaination;Column1;_1;_2
1;"Ποιο από τα παρακάτω δεν αποτελεί πλεονέκτημα του ψηφιακού μετασχηματισμού για τις εξαγωγικές επιχειρήσεις;";Μεγαλύτερη έκθεση σε κυβερνοεπιθέσεις;Η αύξηση της έκθεσης σε κυβερνοεπιθέσεις είναι κίνδυνος/μειονέκτημα και όχι πλεονέκτημα του ψηφιακού μετασχηματισμού. Οι άλλες επιλογές (Α, Γ, Δ) είναι πλεονεκτήματα.;;;
2;"Ποιο από τα παρακάτω αποτελεί πρώτο βήμα για τη δημιουργία μιας στρατηγικής ψηφιακού μετασχηματισμού;";Ευθυγράμμιση με τον λόγο του ψηφιακού μετασχηματισμού;Το πρώτο βήμα είναι η κατανόηση του 'γιατί' και η ευθυγράμμιση με τον λόγο του μετασχηματισμού, προτού προχωρήσει η εταιρεία στην υλοποίηση (Α, Γ) ή στη συλλογή ανατροφοδότησης (Δ).;;;
3;"Ποια τεχνολογία επιτρέπει την ασφαλή και αδιάβλητη καταγραφή συναλλαγών στο πλαίσιο του ψηφιακού μετασχηματισμού;";Blockchain;Το Blockchain είναι γνωστό για την ασφαλή, αποκεντρωμένη και αδιάβλητη καταγραφή συναλλαγών.;;;
4;"Ποιες από τις παρακάτω ενέργειες θεωρούνται βέλτιστες για την ενίσχυση της ασφάλειας των δεδομένων στην επιχείρηση;";Εφαρμογή ισχυρών κωδικών πρόσβασης και ταυτοποίηση πολλαπλών παραμέτρων;Οι ισχυροί κωδικοί και η ταυτοποίηση πολλαπλών παραμέτρων (MFA) είναι βασικές βέλτιστες πρακτικές για την ενίσχυση της ασφάλειας των δεδομένων.;;;
5;"Ποιο από τα παρακάτω αποτελεί παράδειγμα αναγκαίας ενέργειας για τη διαχείριση κινδύνων στον ψηφιακό μετασχηματισμό;";Ανάπτυξη στρατηγικής συμμόρφωσης με τις κανονιστικές απαιτήσεις;Η συμμόρφωση με τις κανονιστικές απαιτήσεις (π.χ. GDPR) είναι κρίσιμη ενέργεια διαχείρισης κινδύνων στον ψηφιακό μετασχηματισμό.;;;
6;Η ενσωμάτωση της τεχνολογίας blockchain σε επιχειρηματικές διαδικασίες ενισχύει την ιχνηλασιμότητα και τη διαφάνεια.;Σωστό;Το Blockchain εξασφαλίζει διαφάνεια και αδιάβλητη καταγραφή, που είναι απαραίτητα για την ενίσχυση της ιχνηλασιμότητας.;;;
7;Οι επιχειρήσεις πρέπει να ξεκινούν την εφαρμογή του ψηφιακού μετασχηματισμού με μεγάλες και πολύπλοκες αλλαγές σε όλα τα τμήματα της εταιρείας.;Λάθος;Συνήθως προτείνεται μια σταδιακή προσέγγιση (πιλοτικά/μικρές αλλαγές) παρά μεγάλες και πολύπλοκες αλλαγές εξ αρχής.;;;
8;Η επένδυση στην κυβερνοασφάλεια είναι απαραίτητη μόνο για μεγάλες επιχειρήσεις με διεθνή παρουσία.;Λάθος;Η κυβερνοασφάλεια είναι απαραίτητη για όλες τις επιχειρήσεις, ανεξαρτήτως μεγέθους, λόγω της αυξημένης ψηφιακής έκθεσης.;;;
9;Η ασφαλή υιοθέτηση υπηρεσιών cloud απαιτεί τη συμμόρφωση με το GDPR και τη διασφάλιση της ασφάλειας των υποδομών του παρόχου.;Σωστό;Η ασφάλεια του cloud απαιτεί τόσο τη συμμόρφωση με κανονισμούς όπως ο GDPR όσο και την επαλήθευση των μέτρων ασφάλειας του παρόχου.;;;
10;Η ψηφιοποίηση των εξαγωγικών επιχειρήσεων μειώνει τον κίνδυνο ψηφιακών επιθέσεων, διότι δεν απαιτεί τη διασύνδεση με άλλες επιχειρήσεις ή δίκτυα.;Λάθος;Η ψηφιοποίηση συνεπάγεται αυξημένη διασύνδεση (εξαγωγές, προμηθευτές, πελάτες), γεγονός που αυξάνει τον κίνδυνο και όχι τον μειώνει.;;;
